"","tool","run","parameter","moment","value"
"538","nm7","0011","THETA3","estimate","0.0686908"
"539","nm7","0011","THETA3","prse",NA
"540","nm7","0011","THETA3","se",NA
"541","nm7","0011","THETA4","estimate","3.82889"
"542","nm7","0011","THETA4","prse",NA
"543","nm7","0011","THETA4","se",NA
"544","nm7","0011","THETA5","estimate","118.829"
"545","nm7","0011","THETA5","prse",NA
"546","nm7","0011","THETA5","se",NA
"547","nm7","0011","THETA6","estimate","1.1428"
"548","nm7","0011","THETA6","prse",NA
"549","nm7","0011","THETA6","se",NA
"550","nm7","0011","THETA7","estimate","1.33331"
"551","nm7","0011","THETA7","prse",NA
"552","nm7","0011","THETA7","se",NA
"553","nm7","0011","OMEGA1.1","estimate","0.200764"
"554","nm7","0011","OMEGA1.1","prse",NA
"555","nm7","0011","OMEGA1.1","se",NA
"556","nm7","0011","OMEGA2.1","estimate","0.089781"
"557","nm7","0011","OMEGA2.1","prse",NA
"558","nm7","0011","OMEGA2.1","se",NA
"559","nm7","0011","OMEGA2.2","estimate","0.0835517"
"560","nm7","0011","OMEGA2.2","prse",NA
"561","nm7","0011","OMEGA2.2","se",NA
"562","nm7","0011","OMEGA3.1","estimate","0.00380984"
"563","nm7","0011","OMEGA3.1","prse",NA
"564","nm7","0011","OMEGA3.1","se",NA
"565","nm7","0011","OMEGA3.2","estimate","-0.0419745"
"566","nm7","0011","OMEGA3.2","prse",NA
