"","tool","run","parameter","moment","value"
"260","nm7",5,"SIGMA2.2","prse",NA
"261","nm7",5,"SIGMA2.2","se",NA
"262","nm7",5,"cov","status","0"
"263","nm7",5,"prob","text","5 phase1 2 CMT like 1004 but diff. initial on V3"
"264","nm7",5,"min","status","0"
"265","nm7",5,"data","filename","../data/5.csv"
"266","nm7",6,"ofv","minimum","2091.27297865166"
"267","nm7",6,"THETA1","estimate","9.95041"
"268","nm7",6,"THETA1","prse",NA
"269","nm7",6,"THETA1","se",NA
"270","nm7",6,"THETA2","estimate","21.5015"
"271","nm7",6,"THETA2","prse",NA
"272","nm7",6,"THETA2","se",NA
"273","nm7",6,"THETA3","estimate","0.0699508"
"274","nm7",6,"THETA3","prse",NA
"275","nm7",6,"THETA3","se",NA
"276","nm7",6,"THETA4","estimate","3.44652"
"277","nm7",6,"THETA4","prse",NA
"278","nm7",6,"THETA4","se",NA
"279","nm7",6,"THETA5","estimate","165.992"
"280","nm7",6,"THETA5","prse",NA
"281","nm7",6,"THETA5","se",NA
"282","nm7",6,"THETA6","estimate","1.01377"
"283","nm7",6,"THETA6","prse",NA
"284","nm7",6,"THETA6","se",NA
"285","nm7",6,"THETA7","estimate","0.571955"
"286","nm7",6,"THETA7","prse",NA
"287","nm7",6,"THETA7","se",NA
"288","nm7",6,"OMEGA1.1","estimate","0.195927"
"289","nm7",6,"OMEGA1.1","prse",NA
"290","nm7",6,"OMEGA1.1","se",NA
"291","nm7",6,"OMEGA2.1","estimate","0.141958"
"292","nm7",6,"OMEGA2.1","prse",NA
"293","nm7",6,"OMEGA2.1","se",NA
"294","nm7",6,"OMEGA2.2","estimate","0.12334"
"295","nm7",6,"OMEGA2.2","prse",NA
"296","nm7",6,"OMEGA2.2","se",NA
"297","nm7",6,"OMEGA3.1","estimate","-0.00461459"
"298","nm7",6,"OMEGA3.1","prse",NA
"299","nm7",6,"OMEGA3.1","se",NA
"300","nm7",6,"OMEGA3.2","estimate","-0.0327725"
"301","nm7",6,"OMEGA3.2","prse",NA
"302","nm7",6,"OMEGA3.2","se",NA
"303","nm7",6,"OMEGA3.3","estimate","0.0423953"
"304","nm7",6,"OMEGA3.3","prse",NA
"305","nm7",6,"OMEGA3.3","se",NA
"306","nm7",6,"SIGMA1.1","estimate","0.0493143"
"307","nm7",6,"SIGMA1.1","prse",NA
"308","nm7",6,"SIGMA1.1","se",NA
"309","nm7",6,"SIGMA2.1","estimate","0"
"310","nm7",6,"SIGMA2.1","prse",NA
"311","nm7",6,"SIGMA2.1","se",NA
"312","nm7",6,"SIGMA2.2","estimate","0.195492"
"313","nm7",6,"SIGMA2.2","prse",NA
"314","nm7",6,"SIGMA2.2","se",NA
"315","nm7",6,"cov","status","0"
"316","nm7",6,"prob","text","6 phase1 2 CMT like 1004 but diff. initial on V3"
"317","nm7",6,"min","status","0"
"318","nm7",6,"data","filename","../data/6.csv"
"319","nm7",7,"ofv","minimum","2192.95539359528"
"320","nm7",7,"THETA1","estimate","10.9259"
"321","nm7",7,"THETA1","prse",NA
"322","nm7",7,"THETA1","se",NA
"323","nm7",7,"THETA2","estimate","22.9992"
"324","nm7",7,"THETA2","prse",NA
"325","nm7",7,"THETA2","se",NA
"326","nm7",7,"THETA3","estimate","0.072068"
"327","nm7",7,"THETA3","prse",NA
"328","nm7",7,"THETA3","se",NA
"329","nm7",7,"THETA4","estimate","2.84229"
"330","nm7",7,"THETA4","prse",NA
"331","nm7",7,"THETA4","se",NA
"332","nm7",7,"THETA5","estimate","93.7773"
"333","nm7",7,"THETA5","prse",NA
"334","nm7",7,"THETA5","se",NA
"335","nm7",7,"THETA6","estimate","1.04791"
"336","nm7",7,"THETA6","prse",NA
"337","nm7",7,"THETA6","se",NA
"338","nm7",7,"THETA7","estimate","0.959572"
"339","nm7",7,"THETA7","prse",NA
"340","nm7",7,"THETA7","se",NA
"341","nm7",7,"OMEGA1.1","estimate","0.153211"
"342","nm7",7,"OMEGA1.1","prse",NA
"343","nm7",7,"OMEGA1.1","se",NA
"344","nm7",7,"OMEGA2.1","estimate","0.145157"
"345","nm7",7,"OMEGA2.1","prse",NA
"346","nm7",7,"OMEGA2.1","se",NA
"347","nm7",7,"OMEGA2.2","estimate","0.151914"
"348","nm7",7,"OMEGA2.2","prse",NA
"349","nm7",7,"OMEGA2.2","se",NA
"350","nm7",7,"OMEGA3.1","estimate","-0.0372318"
"351","nm7",7,"OMEGA3.1","prse",NA
"352","nm7",7,"OMEGA3.1","se",NA
"353","nm7",7,"OMEGA3.2","estimate","-0.052796"
"354","nm7",7,"OMEGA3.2","prse",NA
"355","nm7",7,"OMEGA3.2","se",NA
"356","nm7",7,"OMEGA3.3","estimate","0.0303968"
"357","nm7",7,"OMEGA3.3","prse",NA
"358","nm7",7,"OMEGA3.3","se",NA
"359","nm7",7,"SIGMA1.1","estimate","0.0482815"
"360","nm7",7,"SIGMA1.1","prse",NA
"361","nm7",7,"SIGMA1.1","se",NA
"362","nm7",7,"SIGMA2.1","estimate","0"
"363","nm7",7,"SIGMA2.1","prse",NA
"364","nm7",7,"SIGMA2.1","se",NA
"365","nm7",7,"SIGMA2.2","estimate","0.276148"
"366","nm7",7,"SIGMA2.2","prse",NA
"367","nm7",7,"SIGMA2.2","se",NA
"368","nm7",7,"cov","status","0"
"369","nm7",7,"prob","text","7 phase1 2 CMT like 1004 but diff. initial on V3"
"370","nm7",7,"min","status","0"
"371","nm7",7,"data","filename","../data/7.csv"
"372","nm7",8,"ofv","minimum","2228.89800595943"
"373","nm7",8,"THETA1","estimate","8.57255"
"374","nm7",8,"THETA1","prse",NA
"375","nm7",8,"THETA1","se",NA
"376","nm7",8,"THETA2","estimate","20.9557"
"377","nm7",8,"THETA2","prse",NA
"378","nm7",8,"THETA2","se",NA
"379","nm7",8,"THETA3","estimate","0.0678845"
"380","nm7",8,"THETA3","prse",NA
"381","nm7",8,"THETA3","se",NA
"382","nm7",8,"THETA4","estimate","3.29872"
"383","nm7",8,"THETA4","prse",NA
"384","nm7",8,"THETA4","se",NA
"385","nm7",8,"THETA5","estimate","136.111"
"386","nm7",8,"THETA5","prse",NA
"387","nm7",8,"THETA5","se",NA
"388","nm7",8,"THETA6","estimate","1.06165"
"389","nm7",8,"THETA6","prse",NA
"390","nm7",8,"THETA6","se",NA
"391","nm7",8,"THETA7","estimate","1.14091"
"392","nm7",8,"THETA7","prse",NA
"393","nm7",8,"THETA7","se",NA
"394","nm7",8,"OMEGA1.1","estimate","0.253474"
"395","nm7",8,"OMEGA1.1","prse",NA
"396","nm7",8,"OMEGA1.1","se",NA
"397","nm7",8,"OMEGA2.1","estimate","0.128854"
"398","nm7",8,"OMEGA2.1","prse",NA
"399","nm7",8,"OMEGA2.1","se",NA
"400","nm7",8,"OMEGA2.2","estimate","0.0895731"
"401","nm7",8,"OMEGA2.2","prse",NA
"402","nm7",8,"OMEGA2.2","se",NA
"403","nm7",8,"OMEGA3.1","estimate","0.0129519"
"404","nm7",8,"OMEGA3.1","prse",NA
"405","nm7",8,"OMEGA3.1","se",NA
"406","nm7",8,"OMEGA3.2","estimate","-0.0247666"
"407","nm7",8,"OMEGA3.2","prse",NA
"408","nm7",8,"OMEGA3.2","se",NA
"409","nm7",8,"OMEGA3.3","estimate","0.0415052"
"410","nm7",8,"OMEGA3.3","prse",NA
"411","nm7",8,"OMEGA3.3","se",NA
"412","nm7",8,"SIGMA1.1","estimate","0.0450309"
"413","nm7",8,"SIGMA1.1","prse",NA
"414","nm7",8,"SIGMA1.1","se",NA
"415","nm7",8,"SIGMA2.1","estimate","0"
"416","nm7",8,"SIGMA2.1","prse",NA
"417","nm7",8,"SIGMA2.1","se",NA
"418","nm7",8,"SIGMA2.2","estimate","0.12694"
"419","nm7",8,"SIGMA2.2","prse",NA
"420","nm7",8,"SIGMA2.2","se",NA
"421","nm7",8,"cov","status","0"
"422","nm7",8,"prob","text","8 phase1 2 CMT like 1004 but diff. initial on V3"
"423","nm7",8,"min","status","0"
"424","nm7",8,"data","filename","../data/8.csv"
"425","nm7",9,"ofv","minimum","2281.29811409231"
"426","nm7",9,"THETA1","estimate","7.85771"
"427","nm7",9,"THETA1","prse",NA
"428","nm7",9,"THETA1","se",NA
"429","nm7",9,"THETA2","estimate","20.9913"
"430","nm7",9,"THETA2","prse",NA
"431","nm7",9,"THETA2","se",NA
"432","nm7",9,"THETA3","estimate","0.0640447"
"433","nm7",9,"THETA3","prse",NA
"434","nm7",9,"THETA3","se",NA
